RQ1 — Stock Movement Prediction Comparison

----------------------------------------------
Model                         ACC          MCC
----------------------------------------------
LSTM                 0.3236±0.0011 0.0058±0.0033
ALSTM                0.3255±0.0046 0.0151±0.0140
ESTIMATE             0.3177±0.0022 -0.0235±0.0299
DTML                 0.3214±0.0034 0.0047±0.0089
ALSTM-W              0.3186±0.0063 -0.0062±0.0168
SLOT                 0.3218±0.0040 0.0051±0.0115
LLM-Stock            0.3232±0.0130 0.0020±0.0325
MSGCA-NAF            0.3514±0.0100 0.0624±0.0174
MSGCA                0.3523±0.0000 0.0738±0.0000
----------------------------------------------
