Scenario,ACC,MCC,Diff MCC,Impact
BASELINE (All Modalities),0.4590909090909091,0.060811914448313104,0.0,⚪ NEUTRAL
NO MACRO (Price+News),0.4590909090909091,0.060811914448313104,0.0,⚪ NEUTRAL
NO NEWS (Price+Macro),0.4590909090909091,0.060811914448313104,0.0,⚪ NEUTRAL
NO PRICE (Macro+News),0.3340909090909091,0.0,-0.060811914448313104,🔻 HURT
PRICE ONLY,0.4590909090909091,0.060811914448313104,0.0,⚪ NEUTRAL
MACRO ONLY,0.3340909090909091,0.0,-0.060811914448313104,🔻 HURT
NEWS ONLY (KG),0.3340909090909091,0.0,-0.060811914448313104,🔻 HURT
